Done,Name,Alternative name,Category,Variation,Encoding Shapes,Layout,comparison,composition,distribution,relationship,,Dimensions,Numeric,Ordinal,Color numeric scale,Graph links,Hierarchy,Range
TRUE,Alluvial Diagram,,diagram,,"rectangle, area",line,TRUE,FALSE,FALSE,TRUE,,2,1,1,FALSE,TRUE,FALSE,FALSE
TRUE,Line Chart - spline,,graph,spline,line,line,FALSE,FALSE,TRUE,FALSE,,2,2,0,FALSE,FALSE,FALSE,FALSE
TRUE,Pie Chart,,chart,,sector,polar,TRUE,TRUE,FALSE,FALSE,,2,1,1,FALSE,FALSE,FALSE,FALSE
TRUE,"Arc Diagram - scaled bubbles, links at the bottom",,diagram,"scaled bubbles, lines at the bottom",circle,line,TRUE,FALSE,FALSE,TRUE,,2,1,1,FALSE,TRUE,FALSE,FALSE
TRUE,"Arc Diagram - scaled bubbles, double-sided links",,diagram,"scaled bubbles, double-sided",circle,line,FALSE,FALSE,FALSE,TRUE,,2,1,1,FALSE,TRUE,FALSE,FALSE
TRUE,Bar Chart,,chart,vertical,rectangle,columns,TRUE,FALSE,FALSE,FALSE,,2,1,1,FALSE,FALSE,FALSE,FALSE
TRUE,Bubble Chart - scale,,chart,scale,circle,line,TRUE,FALSE,FALSE,FALSE,,2,1,1,FALSE,FALSE,FALSE,FALSE
TRUE,Funnel Chart,,chart,,line,line,TRUE,TRUE,FALSE,FALSE,,2,1,1,FALSE,FALSE,FALSE,FALSE
TRUE,Hive Plot - for network,,plot,,-,multiline,FALSE,FALSE,FALSE,TRUE,,0,0,0,FALSE,TRUE,FALSE,FALSE
TRUE,Hive Plot - for ratios,,plot,ribbon stacked,line,multiline,TRUE,FALSE,FALSE,TRUE,,3,1,2,FALSE,FALSE,FALSE,FALSE
TRUE,Transit Map,,diagram,,-,multiline,FALSE,FALSE,TRUE,TRUE,,0,0,0,FALSE,TRUE,FALSE,FALSE
TRUE,Chord Diagram,,diagram,,,,FALSE,FALSE,FALSE,TRUE,,3,1,2,FALSE,TRUE,FALSE,FALSE
TRUE,Heat Map,,,,,grid,TRUE,FALSE,FALSE,FALSE,,3,1,2,TRUE,FALSE,FALSE,FALSE
TRUE,Topographic Map,,map,,,geo,TRUE,FALSE,TRUE,TRUE,,3,3,0,FALSE,FALSE,FALSE,FALSE
TRUE,Choropleth Map,,map,,,geo,TRUE,FALSE,TRUE,TRUE,,3,2,1,FALSE,FALSE,FALSE,FALSE
FALSE,Sankey,,diagram,horizontal,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Donut,,chart,,,,FALSE,FALSE,FALSE,FALSE,,2,1,1,FALSE,FALSE,FALSE,FALSE
FALSE,Bar,Radial Bar Chart,chart,radial,,polar,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Polar Area,,chart,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Exploded view,,diagram,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Pictorial Percentage,,chart,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Radial Histogram,,,,,,TRUE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Sunburst,,diagram,,,polar,TRUE,FALSE,FALSE,FALSE,,2,1,1,FALSE,FALSE,FALSE,FALSE
FALSE,Treemap,,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Flow,,map,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Sorted Stream,,graph,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Bar,,chart,stacked,rectangle,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Pictorial Stacked,,chart,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Table,,chart,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Proportional Area,,chart,square,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Hexagonal Binning,,plot,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Bar,,chart,grouped,rectangle,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Radial Line,,graph,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Progress Bar,,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Matrix,,diagram,Roof shaped,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Multi-level Donut,,chart,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Pictorial Fraction,,chart,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Waterfall,,plot,,,,TRUE,FALSE,TRUE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Proportional Area,,,bubble,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Stream,,graph,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Bubble,,map,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Hyperbolic Tree,,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,TRUE,FALSE
FALSE,Fishbone,,diagram,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Matrix,,diagram,grid,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Word Cloud,,,,,,TRUE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Isoline,,map,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Mind Map,,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Packed Circle,,chart,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Violin,,plot,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Boxplot,,plot,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,TRUE
FALSE,Parallel Sets,,,,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
FALSE,Proportional Area,,chart,nested,,,FALSE,FALSE,FALSE,FALSE,,0,,,FALSE,FALSE,FALSE,FALSE
